time_interval,epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,fairness_P,fairness_B,imbalance_B,lat_n,lat_mean_ns,lat_p50_ns,lat_p95_ns,lat_p99_ns,lat_p999_ns,lat_max_ns,handoffs_committed,handoffs_pending,released_buffered_bytes,released_buffered_pkts,released_buffered_pkts_dropped_at_dst,handoff_buffer_overflow_pkts,pcie_drop_pkts,pcie_accept_pkts,pcie_accept_bytes,pcie_fifo_peak_bytes,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3]
12,12,1342500.0,1342500.0,0.0,895,895,0,0.0,0.2951171875,0.11572265625,0.12179958259749026,0.4744320734968082,0.7818753099096918,0.2913407821229048,895,830959.1889552381,1006000.1635859702,1367083.4929374037,1391425.0545703399,1402331.7895357816,1405327.0768839624,0,0,0.0,0,0,0,0,895,1342500.0,20024.0,0.160546875,378000.0,0.0,321,0.2951171875,580500.0,0.0,323,0.001171875,85500.0,0.0,57,0.0060546875,298500.0,0.0,194
13,13,1399500.0,1383000.0,16500.0,933,922,11,0.011789924973204708,0.33406069248071973,0.11823196999517994,0.13574121152051288,0.43138482039897447,0.7941403470359626,0.2842979635584135,922,848429.5456940919,769186.5562723586,1572732.4885009604,1588933.5473174762,1595709.2355007469,1596161.3081612494,0,1,0.0,0,0,0,0,922,1383000.0,18612.0,0.1341796875,430500.0,0.0,332,0.33406069248071973,583500.0,16500.0,327,0.0005859375,102000.0,0.0,69,0.0041015625,283500.0,0.0,189
14,14,1386000.0,1293000.0,12000.0,924,862,8,0.008658008658008653,0.3098307291666666,0.10543619791666665,0.1257845986751769,0.4126721335489332,0.8011620836429971,0.2775974025974024,862,792179.75782824,654149.5892548356,1582489.1531091484,1588815.1648587931,1592059.6563889976,1592354.5146035217,1,1,81000.0,54,0,0,0,862,1293000.0,17200.0,0.1083984375,414000.0,0.0,320,0.3098307291666666,576000.0,12000.0,323,0.0005859375,103500.0,0.0,69,0.0029296875,292500.0,0.0,197
15,15,1419000.0,1354500.0,0.0,946,903,0,0.0,0.28183593749999997,0.117333984375,0.12064577981118434,0.4860864044511385,0.7901207099923011,0.2795983086680758,903,817177.7804455626,821764.8453309778,1539006.1035564854,1557448.2536430368,1568221.8080804278,1568867.8802514505,1,0,64500.0,43,0,0,0,903,1354500.0,17972.0,0.183984375,546000.0,0.0,319,0.28183593749999997,505500.0,0.0,324,0.0005859375,94500.0,0.0,63,0.0029296875,273000.0,0.0,182
16,16,1453500.0,1453500.0,0.0,969,969,0,0.0,0.280078125,0.120556640625,0.12224162783360232,0.4930604692063326,0.8524880247240875,0.22678018575851366,969,820772.3046113297,922675.2551653795,1461569.402288314,1473196.7615271246,1478216.84696155,1479272.5229799785,0,0,0.0,0,0,0,0,969,1453500.0,20628.0,0.19863281249999998,532500.0,0.0,322,0.280078125,484500.0,0.0,326,0.0005859375,163500.0,0.0,152,0.0029296875,273000.0,0.0,182
17,17,1486500.0,1459500.0,27000.0,991,973,18,0.018163471241170525,0.3343515624999999,0.13031640625,0.1393893747075869,0.466397781830028,0.840388189669041,0.23990918264379402,973,885635.1349610469,965135.5740653127,1559504.4896061085,1566849.8083328572,1569529.4408304472,1571101.6918794364,0,1,0.0,0,0,0,0,973,1459500.0,17540.0,0.183984375,489000.0,0.0,329,0.3343515624999999,562500.0,27000.0,326,0.0005859375,157500.0,0.0,105,0.00234375,277500.0,0.0,186
18,18,1377000.0,1330500.0,0.0,918,887,0,0.0,0.2841796875,0.11484375,0.1202964078371644,0.4768255695998728,0.8442301065100138,0.23311546840958575,887,835624.8500152223,927886.7165682949,1535153.070477679,1548973.6669247327,1556262.5296703095,1556596.3727338277,1,0,46500.0,31,0,0,0,887,1330500.0,16492.0,0.1728515625,460500.0,0.0,326,0.2841796875,498000.0,0.0,325,0.0,126000.0,0.0,85,0.00234375,292500.0,0.0,195
19,19,1375500.0,1375500.0,0.0,917,917,0,0.0,0.275390625,0.10913085937500001,0.11556298938604273,0.4713972434270651,0.8883293400774988,0.18893129770992334,917,782604.3477116752,854205.2696468197,1480426.4523293593,1488030.556866077,1495536.0218764092,1495622.714126382,0,0,0.0,0,0,0,0,917,1375500.0,16564.0,0.1587890625,457500.0,0.0,329,0.275390625,465000.0,0.0,325,0.0005859375,180000.0,0.0,150,0.0017578124999999998,273000.0,0.0,183
20,20,1363500.0,1363500.0,0.0,909,909,0,0.0,0.26132812499999997,0.102392578125,0.109334567634857,0.4672500582552059,0.8927632972171681,0.1834433443344332,909,738954.254005591,816644.8558572493,1410427.342943517,1427087.9883051629,1435694.5689732211,1437050.9290599748,0,0,0.0,0,0,0,0,909,1363500.0,24980.0,0.146484375,454500.0,0.0,324,0.26132812499999997,454500.0,0.0,327,0.0,181500.0,0.0,122,0.0017578124999999998,273000.0,0.0,182
21,21,1419000.0,1419000.0,0.0,946,946,0,0.0,0.2578125,0.099951171875,0.10699955826070995,0.46598117841318076,0.8938719575535774,0.18340380549682855,946,709234.549381562,735763.4368796367,1381638.071749256,1390085.9752998892,1393573.7824205954,1394860.6725224257,0,0,0.0,0,0,0,0,946,1419000.0,20388.0,0.1388671875,468000.0,0.0,325,0.2578125,480000.0,0.0,326,0.001953125,198000.0,0.0,130,0.001171875,273000.0,0.0,183
22,22,1444500.0,1444500.0,0.0,963,963,0,0.0,0.240234375,0.09663085937500002,0.10197083768773803,0.47313399433859676,0.91178477463199,0.17211838006230518,963,662810.7678233907,737183.080975227,1363694.6625688202,1372038.9320542463,1377443.7488357374,1377503.5427886136,0,0,0.0,0,0,0,0,963,1444500.0,19120.0,0.14570312500000002,498000.0,0.0,325,0.240234375,436500.0,0.0,321,0.0,213000.0,0.0,144,0.0005859375,297000.0,0.0,199
23,23,1392000.0,1392000.0,0.0,928,928,0,0.0,0.22148437499999998,0.089501953125,0.09419697068561406,0.474461114570319,0.916426169497297,0.162715517241379,928,622538.7927935653,726678.0429429021,1232701.1318436055,1259025.9569332772,1272130.7851363423,1274185.720261652,0,0,0.0,0,0,0,0,928,1392000.0,18640.0,0.1359375,465000.0,0.0,322,0.22148437499999998,436500.0,0.0,323,0.0,217500.0,0.0,145,0.0005859375,273000.0,0.0,182
24,24,1510500.0,1510500.0,0.0,1007,1007,0,0.0,0.22929687499999998,0.094873046875,0.09832043423074878,0.48216399921833125,0.8950850377965378,0.17999006951340601,1007,634424.5449110318,729168.2916505821,1183978.1103475585,1195909.7504816924,1203913.3434618006,1206106.7972927839,0,0,0.0,0,0,0,0,1007,1510500.0,21284.0,0.1486328125,511500.0,0.0,328,0.22929687499999998,499500.0,0.0,325,0.0,223500.0,0.0,149,0.0015625,276000.0,0.0,183
25,25,1530000.0,1530000.0,0.0,1020,1020,0,0.0,0.22265625,0.099755859375,0.10083435788435384,0.49462600893036923,0.9047774755282216,0.17647058823529393,1020,661422.6798928434,810723.7190761827,1228485.8300099897,1237446.1834365088,1243495.777723912,1244730.201494515,0,0,0.0,0,0,0,0,1020,1530000.0,20464.0,0.17578124999999997,529500.0,0.0,320,0.22265625,477000.0,0.0,324,0.0,231000.0,0.0,154,0.0005859375,292500.0,0.0,196
26,26,1452000.0,1452000.0,0.0,968,968,0,0.0,0.20859375,0.097509765625,0.09798103949019349,0.49759439559014396,0.8999531306425712,0.1828512396694213,968,672730.0940978426,878457.1841502637,1200472.546736798,1209629.9406703594,1213006.5091338132,1213829.8356209546,0,0,0.0,0,0,0,0,968,1452000.0,21900.0,0.18144531249999998,519000.0,0.0,327,0.20859375,439500.0,0.0,317,0.0,220500.0,0.0,147,0.0,273000.0,0.0,183
27,27,1405500.0,1405500.0,0.0,937,937,0,0.0,0.1845703125,0.09208984375,0.09209025798554767,0.5000031803772377,0.8892121990447215,0.19663820704375645,937,653613.9608377669,929822.1804406866,1089235.5657470853,1110932.5389758144,1122660.3172340107,1123293.3226594105,0,0,0.0,0,0,0,0,937,1405500.0,23512.0,0.1837890625,511500.0,0.0,331,0.1845703125,421500.0,0.0,322,0.0,189000.0,0.0,126,0.0,283500.0,0.0,189
28,28,1450500.0,1450500.0,0.0,967,967,0,0.0,0.2052734375,0.093603515625,0.09403565438764203,0.497699640083657,0.8739901000833716,0.21070320579110624,967,650010.9844452202,929787.2153620012,1020985.1711741522,1036587.6336461261,1044786.6323965605,1046734.2935148999,0,0,0.0,0,0,0,0,967,1450500.0,21780.0,0.2052734375,528000.0,0.0,326,0.1681640625,445500.0,0.0,325,0.0,165000.0,0.0,110,0.0009765625,312000.0,0.0,207
29,29,1417500.0,1417500.0,0.0,945,945,0,0.0,0.21367187499999998,0.08784179687499999,0.09185715015388464,0.47767169849306995,0.8893643762274478,0.19603174603174578,945,623375.5858446656,807974.8985975832,1097742.6402817362,1109715.999179914,1116368.212056946,1117253.7123992182,0,0,0.0,0,0,0,0,945,1417500.0,22224.0,0.21367187499999998,516000.0,0.0,325,0.1376953125,406500.0,0.0,323,0.0,174000.0,0.0,116,0.0,321000.0,0.0,215
30,30,1423500.0,1423500.0,0.0,949,949,0,0.0,0.2111328125,0.083251953125,0.08903233870713967,0.46649189254877227,0.8930245794677952,0.1888830347734456,949,597087.6822670159,674601.5722983144,1114096.3231116578,1119466.863829925,1123383.853030035,1123711.2725182287,0,0,0.0,0,0,0,0,949,1423500.0,17676.0,0.2111328125,489000.0,0.0,321,0.121875,453000.0,0.0,329,0.0,181500.0,0.0,121,0.0,300000.0,0.0,200
31,31,1381500.0,1381500.0,0.0,921,921,0,0.0,0.19804687499999998,0.07412109374999999,0.0820621105455046,0.4492929189265568,0.9142616632247884,0.1674809989142234,921,547502.441191677,602402.7298972756,1098802.4057452418,1112833.9023997472,1120988.8220321378,1121048.0959449075,0,0,0.0,0,0,0,0,921,1381500.0,19600.0,0.19804687499999998,460500.0,0.0,326,0.0984375,426000.0,0.0,324,0.0,193500.0,0.0,129,0.0,301500.0,0.0,201
32,32,1372500.0,1372500.0,0.0,915,915,0,0.0,0.193359375,0.066796875,0.07904294703252111,0.41662481759701936,0.9047520759398464,0.17896174863387948,915,507981.93342564977,468906.38276541606,1068703.4915909092,1074489.96332658,1076780.4424310953,1076786.465857558,0,0,0.0,0,0,0,0,915,1372500.0,22036.0,0.193359375,471000.0,0.0,322,0.073828125,415500.0,0.0,319,0.0,180000.0,0.0,120,0.0,306000.0,0.0,204
33,33,1378500.0,1378500.0,0.0,919,919,0,0.0,0.18925781249999998,0.06079101562499999,0.07736635744700612,0.3817343121235858,0.8989473124002129,0.18307943416757322,919,459889.3077679115,346596.63312561065,1028327.3794070898,1042163.0172823649,1048084.8703746605,1049836.1981436238,0,0,0.0,0,0,0,0,919,1378500.0,19820.0,0.18925781249999998,472500.0,0.0,322,0.053906249999999996,436500.0,0.0,325,0.0,187500.0,0.0,125,0.0,282000.0,0.0,188
34,34,1386000.0,1386000.0,0.0,924,924,0,0.0,0.17753906249999998,0.054296874999999994,0.07284226754544444,0.35717536102089,0.8980838655928909,0.18019480519480502,924,408696.20923515584,246930.54935844615,1002860.4635328173,1013584.3528820311,1018779.8875591962,1019198.3568775356,0,0,0.0,0,0,0,0,924,1386000.0,18424.0,0.17753906249999998,460500.0,0.0,327,0.038671875,451500.0,0.0,327,0.0,180000.0,0.0,120,0.0009765625,294000.0,0.0,195
35,35,1534500.0,1534500.0,0.0,1023,1023,0,0.0,0.19609374999999998,0.05800781249999999,0.08079601514451328,0.340133378834063,0.9113153229093012,0.17033235581622663,1023,383325.067478096,181143.51747226715,982867.7411083549,991797.9614231093,998659.5640955854,1000865.3000586405,0,0,0.0,0,0,0,0,1023,1534500.0,21808.0,0.19609374999999998,513000.0,0.0,323,0.033398437499999996,477000.0,0.0,327,0.0009765625,213000.0,0.0,141,0.0015625,331500.0,0.0,220
36,36,1515000.0,1515000.0,0.0,1010,1010,0,0.0,0.2228515625,0.066015625,0.09121501513235473,0.3437434651461926,0.8739060111986073,0.20841584158415816,1010,427605.38153007615,170533.07045567036,1086100.6467993353,1102111.8235493167,1109410.0135429327,1110533.7583861575,0,0,0.0,0,0,0,0,1010,1515000.0,20452.0,0.2228515625,540000.0,0.0,325,0.031640625,487500.0,0.0,328,0.003515625,178500.0,0.0,116,0.0060546875,309000.0,0.0,201
37,37,1446000.0,1446000.0,0.0,964,964,0,0.0,0.2345703125,0.067138671875,0.0972159385164266,0.3229278472649709,0.8623564434348159,0.21836099585062207,964,453698.37511311827,135497.46072520688,1162224.6469315062,1172327.875180979,1177678.5412361945,1177766.5427703932,0,0,0.0,0,0,0,0,964,1446000.0,20316.0,0.2345703125,519000.0,0.0,320,0.028124999999999997,474000.0,0.0,322,0.0017578124999999998,157500.0,0.0,106,0.0041015625,295500.0,0.0,197
38,38,1461000.0,1461000.0,0.0,974,974,0,0.0,0.2109375,0.06474609375000001,0.08598171137254572,0.361854875753849,0.8994917889786476,0.1822381930184802,974,406787.6503288577,155498.80362873524,1134798.7060646943,1156648.7999184048,1169743.6350085859,1171821.7697478905,0,0,0.0,0,0,0,0,974,1461000.0,21252.0,0.2109375,457500.0,0.0,328,0.0427734375,510000.0,0.0,325,0.0017578124999999998,214500.0,0.0,143,0.0035156249999999997,279000.0,0.0,187
39,39,1539000.0,1539000.0,0.0,1026,1026,0,0.0,0.2091796875,0.06416015625,0.08533943840877325,0.3611194771556788,0.9289148206192553,0.14766081871345005,1026,403666.5780536653,181317.2913382426,1098577.5714431722,1104414.473641416,1106939.149864636,1108042.1497580707,0,0,0.0,0,0,0,0,1026,1539000.0,17624.0,0.2091796875,483000.0,0.0,325,0.0427734375,492000.0,0.0,322,0.0017578124999999998,243000.0,0.0,162,0.0029296875,321000.0,0.0,215
40,40,1471500.0,1471500.0,0.0,981,981,0,0.0,0.23359375,0.07036132812499998,0.09583281779496111,0.3502540271569536,0.8705525301684367,0.20820591233435248,981,474683.5856588057,222854.59341163933,1165504.811298646,1185284.5808566988,1197560.20310254,1199668.6236769855,0,0,0.0,0,0,0,0,981,1471500.0,21688.0,0.23359375,522000.0,0.0,323,0.0443359375,489000.0,0.0,322,0.001171875,184500.0,0.0,124,0.00234375,276000.0,0.0,185
41,41,1377000.0,1377000.0,0.0,918,918,0,0.0,0.239453125,0.06704101562499999,0.10000184772691756,0.31007512351165895,0.8621252670087652,0.2200435729847492,918,503939.0606354369,192599.82947862148,1226091.412320402,1235024.5752483434,1238867.843921157,1240628.7867239937,0,0,0.0,0,0,0,0,918,1377000.0,19004.0,0.239453125,502500.0,0.0,319,0.0251953125,445500.0,0.0,327,0.001171875,156000.0,0.0,104,0.00234375,273000.0,0.0,182
42,42,1354500.0,1354500.0,0.0,903,903,0,0.0,0.23515625,0.060693359375000006,0.10073670578324133,0.26632439178264483,0.8820763289413903,0.2018272425249168,903,454030.1586350521,47382.1142899245,1228697.2240179821,1238401.5704173697,1244523.3201933666,1244862.599410154,0,0,0.0,0,0,0,0,903,1354500.0,20220.0,0.23515625,484500.0,0.0,321,0.0046875,426000.0,0.0,319,0.0005859375,171000.0,0.0,115,0.00234375,273000.0,0.0,182
43,43,1399500.0,1399500.0,0.0,933,933,0,0.0,0.2509765625,0.06406250000000001,0.10792204226111803,0.260554336455334,0.8861382006230022,0.19962486602357954,933,462779.4906255067,19588.259860165417,1256979.9430165724,1270254.8879947586,1277719.329742863,1279891.585818082,0,0,0.0,0,0,0,0,933,1399500.0,20644.0,0.2509765625,513000.0,0.0,325,0.0035156249999999997,420000.0,0.0,282,0.0,187500.0,0.0,126,0.0017578124999999998,279000.0,0.0,187
44,44,1368000.0,1368000.0,0.0,912,912,0,0.0,0.24921875,0.0634765625,0.1072433708649743,0.25944611484790886,0.8734751487045065,0.21162280701754366,912,484042.5233838722,19359.83096799627,1318403.4565729902,1328228.7997307403,1332434.6436735024,1335096.2762869298,0,0,0.0,0,0,0,0,912,1368000.0,21892.0,0.24921875,501000.0,0.0,329,0.0029296875,420000.0,0.0,281,0.0,159000.0,0.0,106,0.0017578124999999998,288000.0,0.0,192
45,45,1444500.0,1444500.0,0.0,963,963,0,0.0,0.2716796875,0.069580078125,0.11669536759793482,0.2622769723084925,0.871898798443053,0.21053997923156786,963,489236.01049708354,20510.31520769,1369827.6548960165,1378966.2544679453,1383168.175201739,1383399.383524716,0,0,0.0,0,0,0,0,963,1444500.0,18424.0,0.2716796875,516000.0,0.0,319,0.0048828125,454500.0,0.0,301,0.0,156000.0,0.0,104,0.0017578124999999998,318000.0,0.0,212
46,46,1429500.0,1429500.0,0.0,953,953,0,0.0,0.26484375,0.067236328125,0.11409346277832388,0.25776865058496357,0.884252822531964,0.19596012591815293,953,478038.2058881256,21252.55972302705,1378520.1363352493,1391057.8221048266,1396532.3831844684,1397200.0016223714,0,0,0.0,0,0,0,0,953,1429500.0,19168.0,0.26484375,490500.0,0.0,324,0.0029296875,462000.0,0.0,310,0.0,168000.0,0.0,112,0.001171875,309000.0,0.0,207
47,47,1423500.0,1423500.0,0.0,949,949,0,0.0,0.26132812499999997,0.066455078125,0.11251350957499967,0.25863137341853104,0.8967735704015263,0.1851949420442569,949,477874.25137618656,18830.689493365586,1371394.7271128967,1378526.0761999697,1383106.9908549692,1385509.7255965173,0,0,0.0,0,0,0,0,949,1423500.0,23412.0,0.26132812499999997,492000.0,0.0,332,0.0029296875,451500.0,0.0,301,0.0009765625,196500.0,0.0,130,0.0005859375,283500.0,0.0,190
48,48,1437000.0,1437000.0,0.0,958,958,0,0.0,0.30136718749999997,0.07607421874999999,0.1300784549193451,0.25486355189836685,0.856922502334267,0.22755741127348617,958,553679.7216025635,20608.838445834816,1468692.6502147517,1485130.9228529523,1497359.8492008224,1500040.4009683281,0,1,0.0,0,0,0,0,958,1437000.0,22240.0,0.30136718749999997,549000.0,0.0,325,0.0029296875,442500.0,0.0,295,0.0,168000.0,0.0,113,0.0,277500.0,0.0,186
49,49,1423500.0,1345500.0,0.0,949,897,0,0.0,0.2765625,0.06972656249999999,0.11942061745993328,0.25424063004831665,0.8650541930972478,0.21996838777660677,897,522681.5592117247,18795.565335042775,1494538.511212121,1500299.1978573292,1503381.3915048838,1504914.104162693,1,0,78000.0,52,0,0,0,897,1345500.0,16876.0,0.2765625,547500.0,0.0,328,0.00234375,423000.0,0.0,283,0.0,180000.0,0.0,120,0.0,273000.0,0.0,182
50,50,1482000.0,1482000.0,0.0,988,988,0,0.0,0.268359375,0.08237304687500001,0.11024143901984747,0.35828621440617453,0.884181998681169,0.19686234817813753,988,529539.5815952726,208475.6690657884,1430970.3379586022,1443576.2488371811,1453088.9748737775,1454492.7916156277,0,0,0.0,0,0,0,0,988,1482000.0,21352.0,0.268359375,472500.0,0.0,329,0.0611328125,529500.0,0.0,324,0.0,207000.0,0.0,138,0.0,273000.0,0.0,182
51,51,1495500.0,1495500.0,0.0,997,997,0,0.0,0.2732421875,0.088330078125,0.111652349199453,0.38494759663973793,0.8654001525319255,0.21339017051153442,997,589120.1305512647,322855.3640933782,1428698.911491537,1435058.338329829,1438477.8043454567,1439546.5876369476,0,0,0.0,0,0,0,0,997,1495500.0,19488.0,0.2732421875,498000.0,0.0,327,0.080078125,535500.0,0.0,326,0.0,183000.0,0.0,122,0.0,279000.0,0.0,186
52,52,1453500.0,1453500.0,0.0,969,969,0,0.0,0.2619140625,0.0900390625,0.10703080448698338,0.4144189467527685,0.8670800627943485,0.21542827657378716,969,596755.6726144215,394935.6494159028,1415716.0249633908,1422622.4324939188,1429911.7319541622,1431697.5953805,0,0,0.0,0,0,0,0,969,1453500.0,17584.0,0.2619140625,465000.0,0.0,326,0.09824218750000001,534000.0,0.0,325,0.0,180000.0,0.0,120,0.0,274500.0,0.0,183
53,53,1440000.0,1440000.0,0.0,960,960,0,0.0,0.23906249999999998,0.08984375,0.09916952519076866,0.4507855750235296,0.8643651942945895,0.2203124999999997,960,590709.0171286367,507326.5221270174,1342019.8469281723,1361289.8026201176,1372061.3552431953,1373905.4857949466,0,0,0.0,0,0,0,0,960,1440000.0,21680.0,0.23906249999999998,435000.0,0.0,329,0.1203125,550500.0,0.0,332,0.0,181500.0,0.0,121,0.0,273000.0,0.0,182
54,54,1522500.0,1522500.0,0.0,1015,1015,0,0.0,0.226171875,0.10297851562499999,0.1039658339756231,0.49523398114794226,0.8429349658154065,0.23965517241379297,1015,651842.9678919566,690314.485494189,1256174.520761428,1263317.6860068613,1265449.196814133,1265599.1067247465,0,0,0.0,0,0,0,0,1015,1522500.0,20928.0,0.226171875,457500.0,0.0,327,0.1857421875,607500.0,0.0,324,0.0,181500.0,0.0,121,0.0,276000.0,0.0,184
55,55,1462500.0,1462500.0,0.0,975,975,0,0.0,0.213671875,0.10380859375000001,0.10389684189961632,0.4995799408982085,0.865365708896665,0.21871794871794847,975,686285.334977531,922463.5417084843,1157064.0484634042,1184665.5902926615,1196326.8312900146,1197564.2978214025,0,0,0.0,0,0,0,0,975,1462500.0,20432.0,0.2015625,427500.0,0.0,327,0.213671875,568500.0,0.0,318,0.0,193500.0,0.0,129,0.0,273000.0,0.0,182
