time_interval,epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,fairness_P,fairness_B,imbalance_B,lat_n,lat_mean_ns,lat_p50_ns,lat_p95_ns,lat_p99_ns,lat_p999_ns,lat_max_ns,reassignments,pred_risk_max,pcie_drop_pkts,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3]
42,42,153000.0,144000.0,9000.0,102,96,6,0.05882352941176432,0.37201450892857024,0.09564034598214256,0.15959093304010383,0.2642429313341564,0.7736466389054134,0.29901960784313464,96,192403.06458125575,8039.640029266593,509204.2289651433,510163.50815522205,510303.76455375395,510319.3485980353,1,0.22661357580681651,0,0.37201450892857024,63000.0,9000.0,30,0.0080078125,52500.0,0.0,28,0.0025390624999999997,27000.0,0.0,16,0.0,10500.0,0.0,7
43,43,109500.0,108000.0,1500.0,73,72,1,0.013698630136986176,0.3151292067307687,0.07951472355769218,0.13603481941377651,0.2546566330733545,0.8713211249182472,0.20890410958903782,72,178143.9878185851,7030.837305672001,507424.87237690325,508284.44321312365,508467.054130948,508487.3442329285,0,0.16632233815601516,0,0.3151292067307687,39000.0,1500.0,29,0.00234375,36000.0,0.0,29,0.0005859375,21000.0,0.0,16,0.0,13500.0,0.0,9
44,44,108000.0,108000.0,0.0,72,72,0,0.0,0.29355468749999997,0.07368164062499999,0.12694466430641313,0.25199939624620227,0.864,0.20833333333332993,72,177391.94437063325,6681.212928610621,505706.0986759945,507073.7383442971,507552.3310827513,507605.50805369066,0,0.1406087283271361,0,0.29355468749999997,37500.0,0.0,29,0.001171875,37500.0,0.0,27,0.0,19500.0,0.0,14,0.0,13500.0,0.0,9
45,45,157500.0,157500.0,0.0,105,105,0,0.0,0.300390625,0.07783203125,0.128512842211988,0.2683615055407923,0.8791866028708134,0.20238095238094989,105,179712.23980281173,6626.358484942699,505533.1645807357,506670.5994121502,506758.232710954,506768.07221091446,0,0.21741648494248342,0,0.300390625,55500.0,0.0,30,0.00703125,51000.0,0.0,28,0.0029296875,31500.0,0.0,18,0.0009765625,19500.0,0.0,12
46,46,103500.0,103500.0,0.0,69,69,0,0.0,0.2953125,0.074560546875,0.12745681143420834,0.2549632488250351,0.8631254532269761,0.2137681159420255,69,184555.44386038173,6459.328619192122,505650.0999610719,506654.0510415598,506850.2988729441,506872.10418754234,0,0.14001180997517926,0,0.2953125,37500.0,0.0,29,0.0029296875,34500.0,0.0,26,0.0,18000.0,0.0,15,0.0,13500.0,0.0,10
47,47,132000.0,132000.0,0.0,88,88,0,0.0,0.297265625,0.07626953125,0.12760025122208213,0.2632280555179149,0.852863436123348,0.22159090909090606,88,184172.8957929135,6116.299247882795,502734.15015313437,504087.5766409959,504680.31473703496,504746.17452548374,0,0.19177760494008475,0,0.297265625,48000.0,0.0,30,0.0048828125,45000.0,0.0,28,0.0009765625,22500.0,0.0,14,0.001953125,16500.0,0.0,9
48,48,127500.0,127500.0,0.0,85,85,0,0.0,0.2958984375,0.07602539062500001,0.12695375413005172,0.2639553125132019,0.8858509073075037,0.19705882352940907,85,178789.53026547705,7040.502915485762,501529.4495532679,502540.2570293564,503005.3840367009,503057.0648152947,0,0.17711996605909672,0,0.2958984375,45000.0,0.0,31,0.005078125,40500.0,0.0,26,0.0025390624999999997,25500.0,0.0,15,0.0005859375,16500.0,0.0,12
49,49,108000.0,108000.0,0.0,72,72,0,0.0,0.294140625,0.07412109374999999,0.1270319391773856,0.25398723742070645,0.8537549407114624,0.2291666666666632,72,189057.9050274621,7265.420239029219,499589.0652137924,500399.82188263454,500615.35615805985,500639.30441088486,0,0.16002120797233596,0,0.294140625,40500.0,0.0,30,0.00234375,34500.0,0.0,27,0.0,21000.0,0.0,17,0.0,12000.0,0.0,9
50,50,148500.0,148500.0,0.0,99,99,0,0.0,0.2990234375,0.07949218749999999,0.12676872124188496,0.28223317388581964,0.8630679816836915,0.20959595959595712,99,178690.02576941144,6260.529175511096,500802.7615229513,501654.76164739206,501769.6687541763,501782.43621048564,0,0.21214613523437303,0,0.2990234375,52500.0,0.0,30,0.010156249999999999,51000.0,0.0,26,0.0048828125,25500.0,0.0,12,0.00390625,19500.0,0.0,9
51,51,109500.0,109500.0,0.0,73,73,0,0.0,0.2947265625,0.075,0.12686798527310134,0.2589738360822269,0.8611829347123465,0.22260273972602418,73,186496.3173331309,6352.684877980733,500479.44395677425,502128.4704180466,502564.9676350363,502613.4673258129,0,0.15670077334714627,0,0.2947265625,40500.0,0.0,31,0.0041015625,34500.0,0.0,28,0.001171875,22500.0,0.0,18,0.0,12000.0,0.0,12
52,52,105000.0,105000.0,0.0,70,70,0,0.0,0.2923828125,0.07368164062499999,0.1262708057595916,0.2540112058805876,0.8566433566433567,0.22142857142856798,70,187560.27757508605,6632.853558764444,501123.59081557405,502321.4098653014,502591.39504817,502621.3934018221,0,0.1563837177968643,0,0.2923828125,39000.0,0.0,30,0.00234375,34500.0,0.0,26,0.0,18000.0,0.0,14,0.0,13500.0,0.0,9
53,53,156000.0,156000.0,0.0,104,104,0,0.0,0.2982421875,0.07929687499999999,0.12642219207161912,0.28234552538113883,0.8616953473550032,0.2163461538461513,104,179824.02014566248,6679.267495074309,500524.4980114725,501829.194979191,502255.4516935388,502302.99018741027,0,0.22692301928163208,0,0.2982421875,55500.0,0.0,31,0.0091796875,52500.0,0.0,28,0.005859375,30000.0,0.0,14,0.00390625,18000.0,0.0,8
54,54,105000.0,105000.0,0.0,70,70,0,0.0,0.29355468749999997,0.07485351562499999,0.126278962316373,0.2600109374447031,0.8566433566433567,0.22142857142856798,70,187652.37665236357,7215.163445499726,501055.68648566696,502237.0912324181,502464.6671120103,502489.9533208539,0,0.1493733506757119,0,0.29355468749999997,39000.0,0.0,30,0.0046875,34500.0,0.0,26,0.001171875,18000.0,0.0,16,0.0,13500.0,0.0,13
55,55,111000.0,111000.0,0.0,74,74,0,0.0,0.291796875,0.07353515625000001,0.12601505135147253,0.2540236775880459,0.8588456712672522,0.2229729729729697,74,183596.00506813164,7319.679365296266,498442.93458176946,499386.1784662332,499419.85931772325,499423.6016345555,0,0.16341195447026385,0,0.291796875,40500.0,0.0,30,0.0017578124999999998,36000.0,0.0,29,0.0005859375,22500.0,0.0,16,0.0,12000.0,0.0,8
56,56,150000.0,150000.0,0.0,100,100,0,0.0,0.295703125,0.07890625000000001,0.12519180840455002,0.2843117786208747,0.8698677800974252,0.2049999999999974,100,176200.28017211944,6932.501300447155,498372.0632091882,500309.385790073,500874.42433369695,500937.20639409963,0,0.21468043799529068,0,0.295703125,52500.0,0.0,31,0.010546874999999999,51000.0,0.0,25,0.00546875,27000.0,0.0,13,0.00390625,19500.0,0.0,9
57,57,109500.0,109500.0,0.0,73,73,0,0.0,0.291796875,0.07412109375,0.12568154500078435,0.2580567632623373,0.8611829347123465,0.22260273972602418,73,184841.90166997936,6565.550778707722,496534.3048718868,497167.56990021764,497751.52406078606,497816.4078564048,0,0.15737254757766814,0,0.291796875,40500.0,0.0,31,0.0035156249999999997,34500.0,0.0,29,0.001171875,22500.0,0.0,19,0.0,12000.0,0.0,12
58,58,105000.0,105000.0,0.0,70,70,0,0.0,0.2888671875,0.07265625,0.12483150570138064,0.2530459664281992,0.8590462833099579,0.21428571428571086,70,179157.39498072953,6925.830616049352,496597.0827391278,497866.88982876734,498367.91874681704,498423.58862660034,0,0.14981225313023602,0,0.2888671875,37500.0,0.0,30,0.0017578124999999998,36000.0,0.0,27,0.0,18000.0,0.0,14,0.0,13500.0,0.0,9
59,59,157500.0,157500.0,0.0,105,105,0,0.0,0.29667968749999996,0.07827148437499999,0.1261144454214648,0.2780785162156348,0.8670179301667191,0.21190476190475938,105,175892.44139432604,6707.347613131395,494907.31982762617,495869.7584946186,496522.4162407341,496597.3416660065,0,0.22891216135180048,0,0.29667968749999996,55500.0,0.0,29,0.00859375,52500.0,0.0,28,0.0048828125,31500.0,0.0,16,0.0029296875,18000.0,0.0,9
60,60,105000.0,105000.0,0.0,70,70,0,0.0,0.29062499999999997,0.07397460937499999,0.12509208148622125,0.259100825107213,0.8566433566433567,0.22142857142856798,70,185575.72709740154,6765.787854185794,495502.55308979854,496942.55523332726,497323.94471264665,497366.32132145995,0,0.14967696921035503,0,0.29062499999999997,39000.0,0.0,31,0.0041015625,34500.0,0.0,26,0.001171875,18000.0,0.0,15,0.0,13500.0,0.0,12
61,61,109500.0,109500.0,0.0,73,73,0,0.0,0.2888671875,0.07236328125000001,0.12499881743825385,0.25101766342227416,0.8611829347123465,0.22260273972602418,73,184392.38391555694,6669.060462076217,493678.06755289156,494686.84194032603,494904.3210305931,494928.48537395615,0,0.16317415719398942,0,0.2888671875,40500.0,0.0,30,0.0005859375,34500.0,0.0,29,0.0,22500.0,0.0,17,0.0,12000.0,0.0,8
62,62,156000.0,156000.0,0.0,104,104,0,0.0,0.295703125,0.07871093750000001,0.12530457583366025,0.2829388117751075,0.8688946015424165,0.20192307692307443,104,172973.6842646582,6700.68021183263,494116.0561131047,495252.6937239835,496061.94861380337,496153.9286080883,0,0.21999860890440287,0,0.295703125,54000.0,0.0,29,0.0103515625,54000.0,0.0,26,0.0048828125,27000.0,0.0,13,0.00390625,21000.0,0.0,10
